Date : 2025-11-19 09:40:42
Directory : c:\Users\Humam\OneDrive\Documents\Classified-db-v2
Total : 363 files,  25776 codes, 2091 comments, 2969 blanks, all 30836 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| backend\src\ClassifiedAds.Application\DTOs                                                                                                                                            |         40 |        454 |         39 |        149 |        642 |
| backend\src\ClassifiedAds.Application\DTOs\Ads                                                                                                                                        |         37 |        424 |         35 |        131 |        590 |
| backend\src\ClassifiedAds.Application\DTOs\Ads (Files)                                                                                                                                |          1 |         17 |          7 |          7 |         31 |
| backend\src\ClassifiedAds.Application\DTOs\Ads\Electronics                                                                                                                            |          6 |        101 |          6 |         24 |        131 |
| backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs                                                                                                                                   |          8 |         74 |          0 |         22 |         96 |
| backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs (Files)                                                                                                                           |          1 |         11 |          0 |          3 |         14 |
| backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\Cv                                                                                                                                |          4 |         40 |          0 |         11 |         51 |
| backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\Service                                                                                                                           |          3 |         23 |          0 |          8 |         31 |
| backend\src\ClassifiedAds.Application\DTOs\Ads\Miscellaneous                                                                                                                          |          8 |         84 |          8 |         30 |        122 |
| backend\src\ClassifiedAds.Application\DTOs\Ads\RealEstate                                                                                                                             |          4 |         43 |          4 |         15 |         62 |
| backend\src\ClassifiedAds.Application\DTOs\Ads\Vehicles                                                                                                                               |         10 |        105 |         10 |         33 |        148 |
| backend\src\ClassifiedAds.Application\DTOs\Ads\Vehicles (Files)                                                                                                                       |          5 |         58 |          5 |         18 |         81 |
| backend\src\ClassifiedAds.Application\DTOs\Ads\Vehicles\HeavyEquipment                                                                                                                |          5 |         47 |          5 |         15 |         67 |
| backend\src\ClassifiedAds.Application\DTOs\Common                                                                                                                                     |          2 |         16 |          4 |         15 |         35 |
| backend\src\ClassifiedAds.Application\DTOs\Users                                                                                                                                      |          1 |         14 |          0 |          3 |         17 |
| backend\src\ClassifiedAds.Application\Interfaces                                                                                                                                      |          4 |         41 |         37 |         13 |         91 |
| backend\src\ClassifiedAds.Application\Mappers                                                                                                                                         |         29 |      3,877 |         33 |        241 |      4,151 |
| backend\src\ClassifiedAds.Application\Mappers (Files)                                                                                                                                 |          1 |         75 |          7 |          9 |         91 |
| backend\src\ClassifiedAds.Application\Mappers\Electronics                                                                                                                             |          6 |      1,071 |          0 |         48 |      1,119 |
| backend\src\ClassifiedAds.Application\Mappers\Miscellaneous                                                                                                                           |          8 |        964 |         16 |         67 |      1,047 |
| backend\src\ClassifiedAds.Application\Mappers\RealEstate                                                                                                                              |          4 |        511 |          0 |         32 |        543 |
| backend\src\ClassifiedAds.Application\Mappers\Vehicles                                                                                                                                |         10 |      1,256 |         10 |         85 |      1,351 |
| backend\src\ClassifiedAds.Application\Mappers\Vehicles (Files)                                                                                                                        |          5 |        739 |          5 |         44 |        788 |
| backend\src\ClassifiedAds.Application\Mappers\Vehicles\HeavyEquipment                                                                                                                 |          5 |        517 |          5 |         41 |        563 |
| backend\src\ClassifiedAds.Application\Services                                                                                                                                        |          2 |        722 |         40 |         69 |        831 |
| backend\src\ClassifiedAds.Application\Validators                                                                                                                                      |         36 |      2,022 |         78 |        419 |      2,519 |
| backend\src\ClassifiedAds.Application\Validators (Files)                                                                                                                              |          1 |        154 |          0 |         37 |        191 |
| backend\src\ClassifiedAds.Application\Validators\Ads                                                                                                                                  |         32 |      1,744 |         70 |        355 |      2,169 |
| backend\src\ClassifiedAds.Application\Validators\Ads (Files)                                                                                                                          |          1 |        120 |         24 |         27 |        171 |
| backend\src\ClassifiedAds.Application\Validators\Ads\Electronics                                                                                                                      |          6 |        543 |          6 |        105 |        654 |
| backend\src\ClassifiedAds.Application\Validators\Ads\Jobs                                                                                                                             |          3 |        112 |         27 |         27 |        166 |
| backend\src\ClassifiedAds.Application\Validators\Ads\Miscellaneous                                                                                                                    |          8 |        351 |          7 |         73 |        431 |
| backend\src\ClassifiedAds.Application\Validators\Ads\RealEstate                                                                                                                       |          4 |        183 |          3 |         37 |        223 |
| backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles                                                                                                                         |         10 |        435 |          3 |         86 |        524 |
| backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles (Files)                                                                                                                 |          5 |        242 |          3 |         49 |        294 |
| backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\HeavyEquipment                                                                                                          |          5 |        193 |          0 |         37 |        230 |
| backend\src\ClassifiedAds.Application\Validators\Common                                                                                                                               |          2 |         83 |          8 |         15 |        106 |
| backend\src\ClassifiedAds.Application\Validators\Users                                                                                                                                |          1 |         41 |          0 |         12 |         53 |
| backend\src\ClassifiedAds.Application\bin                                                                                                                                             |          1 |        522 |          0 |          0 |        522 |
| backend\src\ClassifiedAds.Application\bin\Debug                                                                                                                                       |          1 |        522 |          0 |          0 |        522 |
| backend\src\ClassifiedAds.Application\bin\Debug\net9.0                                                                                                                                |          1 |        522 |          0 |          0 |        522 |
| backend\src\ClassifiedAds.Application\obj                                                                                                                                             |         13 |      1,733 |         23 |         16 |      1,772 |
| backend\src\ClassifiedAds.Application\obj (Files)                                                                                                                                     |          4 |      1,664 |          0 |          0 |      1,664 |
| backend\src\ClassifiedAds.Application\obj\Debug                                                                                                                                       |          5 |         35 |         11 |          8 |         54 |
| backend\src\ClassifiedAds.Application\obj\Debug\net9.0                                                                                                                                |          5 |         35 |         11 |          8 |         54 |
| backend\src\ClassifiedAds.Application\obj\Release                                                                                                                                     |          4 |         34 |         12 |          8 |         54 |
| backend\src\ClassifiedAds.Application\obj\Release\net9.0                                                                                                                              |          4 |         34 |         12 |          8 |         54 |
| backend\src\ClassifiedAds.Domain                                                                                                                                                      |        111 |      2,473 |         47 |        468 |      2,988 |
| backend\src\ClassifiedAds.Domain (Files)                                                                                                                                              |          1 |         11 |          0 |          4 |         15 |
| backend\src\ClassifiedAds.Domain\Common                                                                                                                                               |         10 |         98 |         24 |         43 |        165 |
| backend\src\ClassifiedAds.Domain\Common\Attributes                                                                                                                                    |          3 |         21 |          0 |          7 |         28 |
| backend\src\ClassifiedAds.Domain\Common\Enums                                                                                                                                         |          3 |         45 |          0 |         21 |         66 |
| backend\src\ClassifiedAds.Domain\Common\ValueObjects                                                                                                                                  |          4 |         32 |         24 |         15 |         71 |
| backend\src\ClassifiedAds.Domain\Entities                                                                                                                                             |         86 |      1,200 |          0 |        405 |      1,605 |
| backend\src\ClassifiedAds.Domain\Entities\Ads                                                                                                                                         |         67 |        972 |          0 |        353 |      1,325 |
| backend\src\ClassifiedAds.Domain\Entities\Ads (Files)                                                                                                                                 |          1 |         59 |          0 |          3 |         62 |
| backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics                                                                                                                             |         13 |        220 |          0 |         83 |        303 |
| backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics (Files)                                                                                                                     |          6 |         95 |          0 |         18 |        113 |
| backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Enums                                                                                                                       |          7 |        125 |          0 |         65 |        190 |
| backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices                                                                                                                            |         18 |        262 |          0 |        100 |        362 |
| backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices (Files)                                                                                                                    |          3 |         41 |          0 |         10 |         51 |
| backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\Enums                                                                                                                      |         10 |        170 |          0 |         75 |        245 |
| backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\ValueObjects                                                                                                               |          5 |         51 |          0 |         15 |         66 |
| backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous                                                                                                                           |         16 |        229 |          0 |         95 |        324 |
| backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous (Files)                                                                                                                   |          8 |         76 |          0 |         24 |        100 |
| backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous\Enums                                                                                                                     |          8 |        153 |          0 |         71 |        224 |
| backend\src\ClassifiedAds.Domain\Entities\Ads\RealEstate                                                                                                                              |          5 |         51 |          0 |         18 |         69 |
| backend\src\ClassifiedAds.Domain\Entities\Ads\RealEstate (Files)                                                                                                                      |          4 |         39 |          0 |         13 |         52 |
| backend\src\ClassifiedAds.Domain\Entities\Ads\RealEstate\Enums                                                                                                                        |          1 |         12 |          0 |          5 |         17 |
| backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles                                                                                                                                |         14 |        151 |          0 |         54 |        205 |
| backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles (Files)                                                                                                                        |          5 |         53 |          0 |         15 |         68 |
| backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles\Enums                                                                                                                          |          4 |         56 |          0 |         24 |         80 |
| backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles\HeavyEquipment                                                                                                                 |          5 |         42 |          0 |         15 |         57 |
| backend\src\ClassifiedAds.Domain\Entities\Chat                                                                                                                                        |          7 |         69 |          0 |         17 |         86 |
| backend\src\ClassifiedAds.Domain\Entities\Chat (Files)                                                                                                                                |          2 |         32 |          0 |          6 |         38 |
| backend\src\ClassifiedAds.Domain\Entities\Chat\Enums                                                                                                                                  |          2 |         14 |          0 |          4 |         18 |
| backend\src\ClassifiedAds.Domain\Entities\Chat\ValueObjects                                                                                                                           |          3 |         23 |          0 |          7 |         30 |
| backend\src\ClassifiedAds.Domain\Entities\PostgreSQL                                                                                                                                  |         12 |        159 |          0 |         35 |        194 |
| backend\src\ClassifiedAds.Domain\Entities\PostgreSQL (Files)                                                                                                                          |          8 |        127 |          0 |         27 |        154 |
| backend\src\ClassifiedAds.Domain\Entities\PostgreSQL\Enums                                                                                                                            |          4 |         32 |          0 |          8 |         40 |
| backend\src\ClassifiedAds.Domain\bin                                                                                                                                                  |          1 |        251 |          0 |          0 |        251 |
| backend\src\ClassifiedAds.Domain\bin\Debug                                                                                                                                            |          1 |        251 |          0 |          0 |        251 |
| backend\src\ClassifiedAds.Domain\bin\Debug\net9.0                                                                                                                                     |          1 |        251 |          0 |          0 |        251 |
| backend\src\ClassifiedAds.Domain\obj                                                                                                                                                  |         13 |        913 |         23 |         16 |        952 |
| backend\src\ClassifiedAds.Domain\obj (Files)                                                                                                                                          |          4 |        844 |          0 |          0 |        844 |
| backend\src\ClassifiedAds.Domain\obj\Debug                                                                                                                                            |          5 |         35 |         11 |          8 |         54 |
| backend\src\ClassifiedAds.Domain\obj\Debug\net9.0                                                                                                                                     |          5 |         35 |         11 |          8 |         54 |
| backend\src\ClassifiedAds.Domain\obj\Release                                                                                                                                          |          4 |         34 |         12 |          8 |         54 |
| backend\src\ClassifiedAds.Domain\obj\Release\net9.0                                                                                                                                   |          4 |         34 |         12 |          8 |         54 |
| backend\src\ClassifiedAds.Infrastructure                                                                                                                                              |         24 |      3,384 |         84 |        266 |      3,734 |
| backend\src\ClassifiedAds.Infrastructure (Files)                                                                                                                                      |          2 |         61 |          4 |         14 |         79 |
| backend\src\ClassifiedAds.Infrastructure\Data                                                                                                                                         |          5 |        699 |         20 |        177 |        896 |
| backend\src\ClassifiedAds.Infrastructure\Data\MongoDB                                                                                                                                 |          3 |        259 |          4 |         72 |        335 |
| backend\src\ClassifiedAds.Infrastructure\Data\PostgreSQL                                                                                                                              |          2 |        440 |         16 |        105 |        561 |
| backend\src\ClassifiedAds.Infrastructure\Services                                                                                                                                     |          3 |        217 |         37 |         59 |        313 |
| backend\src\ClassifiedAds.Infrastructure\bin                                                                                                                                          |          1 |        546 |          0 |          0 |        546 |
| backend\src\ClassifiedAds.Infrastructure\bin\Debug                                                                                                                                    |          1 |        546 |          0 |          0 |        546 |
| backend\src\ClassifiedAds.Infrastructure\bin\Debug\net9.0                                                                                                                             |          1 |        546 |          0 |          0 |        546 |
| backend\src\ClassifiedAds.Infrastructure\obj                                                                                                                                          |         13 |      1,861 |         23 |         16 |      1,900 |
| backend\src\ClassifiedAds.Infrastructure\obj (Files)                                                                                                                                  |          4 |      1,792 |          0 |          0 |      1,792 |
| backend\src\ClassifiedAds.Infrastructure\obj\Debug                                                                                                                                    |          5 |         35 |         11 |          8 |         54 |
| backend\src\ClassifiedAds.Infrastructure\obj\Debug\net9.0                                                                                                                             |          5 |         35 |         11 |          8 |         54 |
| backend\src\ClassifiedAds.Infrastructure\obj\Release                                                                                                                                  |          4 |         34 |         12 |          8 |         54 |
| backend\src\ClassifiedAds.Infrastructure\obj\Release\net9.0                                                                                                                           |          4 |         34 |         12 |          8 |         54 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                              | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Archieve\ClassifiedTablesSQL-Server.sql                                                                                            | MS SQL     |        119 |         57 |         90 |        266 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Archieve\archieve_sql.sql                                                                                                          | MS SQL     |        499 |        198 |        143 |        840 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Categories\Generate-CategoryDtoMapper.ps1                                                                                          | PowerShell |        124 |          8 |         29 |        161 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Categories\transform-categories.ps1                                                                                                | PowerShell |         76 |         14 |         24 |        114 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Electronics\gaming_console_example.json                                              | JSON       |         40 |         29 |          7 |         76 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Electronics\general_electronic_example.json                                          | JSON       |         35 |          4 |          5 |         44 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Electronics\laptop_only_example.json                                                 | JSON       |         66 |         81 |          2 |        149 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Electronics\pc-build_example.json                                                    | JSON       |         55 |         52 |          2 |        109 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Electronics\phone_tablet_example.json                                                | JSON       |         62 |        123 |          2 |        187 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Electronics\tv_monitor_example.json                                                  | JSON       |         55 |         86 |          1 |        142 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Jobs-Services\cv_example.json                                                        | JSON       |         91 |        115 |          0 |        206 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Jobs-Services\service_example.json                                                   | JSON       |         96 |         66 |          0 |        162 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Jobs-Services\vacancy_example.json                                                   | JSON       |         39 |         85 |          6 |        130 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Miscellaneous\book_example.json                                                      | JSON       |         46 |         29 |          0 |         75 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Miscellaneous\cloth_example.json                                                     | JSON       |         47 |         58 |          0 |        105 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Miscellaneous\engine-oil_example.json                                                | JSON       |         46 |        105 |          0 |        151 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Miscellaneous\furniture_example.json                                                 | JSON       |         48 |         33 |          0 |         81 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Miscellaneous\plant_example.json                                                     | JSON       |         46 |         17 |          0 |         63 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Miscellaneous\shoe_example.json                                                      | JSON       |         35 |          4 |          6 |         45 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Miscellaneous\tire-wheel_example.json                                                | JSON       |         36 |          7 |          6 |         49 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Miscellaneous\video-game_example.json                                                | JSON       |         35 |         25 |          7 |         67 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Real Estate\apartment_example.json                                                   | JSON       |         40 |         19 |          6 |         65 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Real Estate\construction-project_example.json                                        | JSON       |         48 |         18 |          1 |         67 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Real Estate\general_real-estate_example.json                                         | JSON       |         34 |          3 |          5 |         42 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Real Estate\house_example.json                                                       | JSON       |         52 |         30 |          2 |         84 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\Heavy Equipment\bulldozer_example.json                                      | JSON       |         45 |          5 |          9 |         59 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\Heavy Equipment\bus_example.json                                            | JSON       |         43 |          3 |          5 |         51 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\Heavy Equipment\crane_example.json                                          | JSON       |         46 |          6 |          5 |         57 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\Heavy Equipment\excavator_example.json                                      | JSON       |         55 |          4 |          1 |         60 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\Heavy Equipment\general_heavy-equipment_example.json                        | JSON       |         40 |          4 |          5 |         49 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\boat_example.json                                                           | JSON       |         51 |          8 |          3 |         62 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\car_example.json                                                            | JSON       |         57 |         43 |          3 |        103 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\general_transport_example.json                                              | JSON       |         36 |          5 |          6 |         47 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\motorcycle_example.json                                                     | JSON       |         52 |         23 |          1 |         76 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\truck_example.json                                                          | JSON       |         42 |          6 |          7 |         55 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\common-fileds-data-type.json                                                         | JSON       |         36 |          6 |         10 |         52 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\ChatSystem\README.md                                                                                             | Markdown   |         58 |          0 |         12 |         70 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\ChatSystem\conversation.json                                                                                     | JSON       |         37 |         17 |         10 |         64 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\ChatSystem\indexes.json                                                                                          | JSON       |         11 |          3 |          2 |         16 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\ChatSystem\message.json                                                                                          | JSON       |          8 |          3 |          1 |         12 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\Sort&Exchange\exchange_rates.json                                                                                | JSON       |         27 |          0 |          0 |         27 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\Sort&Exchange\price_sorting_queries.json                                                                         | JSON       |        117 |          0 |          0 |        117 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\MongoDB-Inheritance-Pattern-Summary.md                                                                                       | Markdown   |        487 |          0 |        126 |        613 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\Vacancy & CV Posting Workflow.md                                                                                             | Markdown   |         24 |          0 |          4 |         28 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\baseUrl.cs                                                                                                                   | C#         |          3 |          1 |          2 |          6 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\endpoints_only.md                                                                                                            | Markdown   |         57 |          0 |         22 |         79 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\enumSystem\DOCUMENTATION.md                                                                                                  | Markdown   |        334 |          0 |         88 |        422 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\enumSystem\MultilingualEnumHandler.cs                                                                                        | C#         |        297 |         46 |         55 |        398 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\logisticRegression.md                                                                                                        | Markdown   |         10 |          0 |          2 |         12 |
